ID,Organism,Strain,Molecule product,DB xref,location
OP422906.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OP422927.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281563.1,Canine coronavirus,CCoV/vaccine/passage7/clone91,N/A,taxon:11153,N/A
OQ351916.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KT222993.1,Canine coronavirus,HRB-F2,N/A,taxon:11153,China
KF668588.1,Canine coronavirus,12-CCoV-K378,N/A,taxon:11153,N/A
LN624651.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
KT222973.1,Canine coronavirus,DQ-alpha0,N/A,taxon:11153,China
P36300.1,Canine enteric coronavirus INSAVC-1,N/A,N/A,taxon:36391,N/A
GQ477367.1,Canine coronavirus,CCoV/NTU336/F/2008,N/A,taxon:11153,Taiwan
MK986773.1,Canine coronavirus,CCoV/NTUCL8,N/A,taxon:11153,Taiwan
OQ540912.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OK340210.1,Canine coronavirus,SWU-SSX7/2021/CCoVIIb,N/A,taxon:11153,China
LC190903.1,Canine coronavirus,CCoV/dog/HCM45/2015,N/A,taxon:11153,Viet Nam
JQ422568.1,Canine coronavirus,TR/02/07/IIa/GR,N/A,taxon:11153,Greece
KP281557.1,Canine coronavirus,CCoV/vaccine/passage7/clone85,N/A,taxon:11153,N/A
OK500250.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OK340205.1,Canine coronavirus,SWU-SSX2/2021/CCoVI,N/A,taxon:11153,China
JX035840.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
GQ148755.1,Canine coronavirus,104/06,N/A,taxon:11153,Italy
KP281527.1,Canine coronavirus,CCoV/vaccine/passage5/clone26,N/A,taxon:11153,N/A
KP281522.1,Canine coronavirus,CCoV/vaccine/passage4/clone23,N/A,taxon:11153,N/A
KP281542.1,Canine coronavirus,CCoV/vaccine/passage6/clone66,N/A,taxon:11153,N/A
GQ148771.1,Canine coronavirus,281/06-B,N/A,taxon:11153,Hungary
JX035857.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
OQ565742.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
PP526170.1,Canine coronavirus,1-71,N/A,taxon:11153,N/A
JX035843.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
GQ148765.1,Canine coronavirus,241/06-9,N/A,taxon:11153,United Kingdom
