ID,Organism,Strain,Molecule product,DB xref,location
PQ243293.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
DQ121625.1,Bovine coronavirus,N/A,N/A,taxon:11128,Denmark
MK932863.1,Bovine coronavirus,N/A,N/A,taxon:11128,Iran
OP652009.1,Bovine coronavirus,N/A,N/A,taxon:11128,Russia
AB450884.1,Bovine coronavirus,Shimane/6/02,N/A,taxon:11128,Japan
PP156983.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland: Carlow
OR464033.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC829617.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
LC504689.1,Bovine coronavirus,KK28-Kumamoto-2016,N/A,taxon:11128,Japan
MH043953.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Pennsylvania
MK318167.1,Bovine coronavirus,N/A,N/A,taxon:11128,Uruguay
LC494187.1,Bovine coronavirus,TCG-28,N/A,taxon:11128,Japan
OR909665.1,Bovine coronavirus,KBR-1(P110),N/A,taxon:11128,South Korea
OR077306.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OR271250.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
GU001946.1,Bovine coronavirus Bubalus/153/ITA/2008,153/08-B,N/A,taxon:702702,Italy
AY606194.1,Bovine coronavirus,USP-04,N/A,taxon:11128,Brazil
ON093194.1,Bovine coronavirus,BCoV2/2021/CHN,N/A,taxon:11128,China
DQ121650.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
AB450887.1,Bovine coronavirus,Shimane/9/03,N/A,taxon:11128,Japan
OL477651.1,Bovine coronavirus,PL/2014/Wlkp3/I/BCoV,N/A,taxon:11128,Poland
MN650893.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC494135.1,Bovine coronavirus,IWT-7,N/A,taxon:11128,Japan
LC829627.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
MN982169.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
P15777.1,Bovine coronavirus Mebus,N/A,N/A,taxon:11132,N/A
MK932862.1,Bovine coronavirus,N/A,N/A,taxon:11128,Iran
OP186322.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
AH010256.4,Bovine coronavirus,N/A,N/A,taxon:11128,N/A
FJ938066.1,Bovine respiratory coronavirus bovine/US/OH-440-TC/1996,bovine/US/OH-440-TC/1996,N/A,taxon:502105,USA: Ohio
KF169923.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
LC494157.1,Bovine coronavirus,SHG-4,N/A,taxon:11128,Japan
OP037441.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
PQ130135.1,Bovine coronavirus,N/A,N/A,taxon:11128,Egypt: Assiut
LC494128.1,Bovine coronavirus,IWT-10,N/A,taxon:11128,Japan
AB277147.1,Bovine coronavirus,Wakayama/2/05,N/A,taxon:11128,Japan
KY612618.1,Bovine coronavirus,N/A,N/A,taxon:11128,Austria
AB450837.1,Bovine coronavirus,Hokkaido/34/07,N/A,taxon:11128,Japan
KF169922.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
OP652025.1,Bovine coronavirus,N/A,N/A,taxon:11128,Russia
MW521181.1,Bovine coronavirus,HLJ/QQHR-7/2020,N/A,taxon:11128,China
HM573330.1,Bovine coronavirus,Nyala 10/01,N/A,taxon:11128,South Korea
MZ711360.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OR603989.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OQ821708.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
LC829635.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
OP652017.1,Bovine coronavirus,N/A,N/A,taxon:11128,Russia
DQ121631.1,Bovine coronavirus,N/A,N/A,taxon:11128,Denmark
LC494134.1,Bovine coronavirus,IWT-6,N/A,taxon:11128,Japan
KF272919.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
KT318122.1,Bovine coronavirus,N/A,N/A,taxon:11128,France
MH197037.1,Bovine coronavirus,PL84,N/A,taxon:11128,Viet Nam
AY935646.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
JN795167.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
JQ741954.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
AB277152.1,Bovine coronavirus,Osaka/1/06,N/A,taxon:11128,Japan
OQ831425.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
MH371012.1,Bovine coronavirus,N/A,N/A,taxon:11128,Iran
AB450910.1,Bovine coronavirus,Kumamoto/2/07,N/A,taxon:11128,Japan
OP186326.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC829645.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
OR502440.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
M64668.1,Bovine coronavirus,BCV-Vaccine,N/A,taxon:11128,N/A
OR271243.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
AB277109.1,Bovine coronavirus,Hokkaido/11/03,N/A,taxon:11128,Japan
HE616740.1,Bovine coronavirus,N/A,N/A,taxon:11128,N/A
LC494148.1,Bovine coronavirus,IWT-22,N/A,taxon:11128,Japan
MK989625.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
LC494175.1,Bovine coronavirus,TCG-18,N/A,taxon:11128,Japan
OR464040.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
DQ389635.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC504684.1,Bovine coronavirus,KK21-Kumamoto-2016,N/A,taxon:11128,Japan
OR271252.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
KY612619.1,Bovine coronavirus,N/A,N/A,taxon:11128,Slovakia
AY935640.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC504663.1,Bovine coronavirus,A25-Aichi-2016,N/A,taxon:11128,Japan
