ID,Collection date
MF598719,2015-04
MF598720,2015-04
MF598721,2015-04
MF598722,2015-04
MG011340,2016-03-05
MG011341,2016-03-06
MG011342,2016-03-07
MG011343,2016-03-12
MG011344,2016-03-13
MG011345,2016-03-18
MG011346,2016-03-14
MG011347,2016-03-13
MG011348,2016-04-18
MG011349,2016-04-13
MG011350,2016-04-04
MG011351,2016-04-10
MG011352,2016-07-20
MG011353,2016-06-01
MG011354,2016-06-16
MG011355,2016-07-01
MG011356,2016-07-12
MG011357,2016-09-21
MG011358,2016-09-21
MG011359,2016-03-29
MG011360,2017-01-23
MG011361,2017-01-10
MG011362,2016-12-25
KT326819,2015-05-22
KX154684,2016-02
KX154685,2016-02
KX154686,2016-02
KX154687,2016-02
KX154688,2016-02
KX154689,2016-01
KX154690,2016-01
KX154691,2016-02-25
KX154692,2016-02-27
KX154693,2016-02-29
KX154694,2016-02-29
KX425839,2015
KX425840,2015
KX425841,2016
KX425842,2015
KX425843,2015
KX425844,2015
KX425845,2016
KU942355,2015-04-01
KU942356,2015-04-01
KU942357,2015-04-01
KU942358,2015-04-01
KU942359,2015-04-01
KU942360,2015-04-01
KU942361,2015-04-01
KU942362,2015-04-01
KU942363,2015-04-01
KU942364,2015-04-01
KU942365,2015-04-01
KU942366,2015-04-01
KU942367,2015-04-01
KU942368,2015-04-21
KU942369,2015-01-06
KU942370,2015-04-01
KU942371,2015-08-23
KU942372,2015-11-11
KU942373,2015-05-14
KU942374,2015-12-08
KU942375,2015-12-08
KX443663,2016-05-18
KX443664,2016-05-18
KX443665,2016-05-18
KX443666,2016-05-18
KX443667,2016-05-19
KX443668,2016-05-19
KX443669,2016-05-19
KX443670,2016-05-19
KX443671,2016-05-19
KX443672,2016-05-19
KX443673,2016-05-19
KX443674,2016-05-19
KX443675,2016-05-19
KX443676,2016-05-19
KX443677,2016-05-19
KX443678,2016-05-19
KX710311,2015-12-08
KX710312,2015-11-11
KX710313,2015-12
KX710314,2015-12
KX710315,2015-12
KX710316,2015-12
KX710317,2015-12
KX710318,2015-12
KX108937,2014-06-02
KX108938,2014-12-13
KX108939,2015-01-30
KX108940,2015-02-12
KX108941,2015-02-14
KX108942,2015-02-15
KX108943,2015-04-23
KX108944,2015-05-12
KX108945,2015-05-29
KX108946,2015-05-18
KT861627,2014-01-22
KT861628,2014-04-21
KT877350,2014-09
KT877351,2014-09
